"Genotype","cell_num","Puncta_ID","Puncta_Circularity","Puncta_Area","Intra_Puncta_Green_Intensity","Intra_Puncta_Red_Intensity","GreenRed_Ratio","Cell_Body_Area","Puncta_Count","Cell_Avg_Puncta_Green_Intensity","Cell_Avg_Puncta_Red_Intensity","Puncta_Count_Normalized_to_Cell_Area","Cell_Avg_Puncta_GreenRedRatio"
"WT","1","1","0.99128125187961003","0.428966883293556","39.907849829351498","32.699658703071599","1.2204362801377744","123.349207683442","10","41.469593495935001","63.452032520325098","8.1070646401422408","0.653558158009381"
"WT","1","2","0.99128125187961003","0.428966883293556","39.382252559726901","43.010238907849804","0.91564830979209566","123.349207683442","10","41.469593495935001","63.452032520325098","8.1070646401422408","0.653558158009381"
"WT","1","3","0.99128125187961003","0.428966883293556","48.0068259385665","112.39590443685999","0.42712255556905121","123.349207683442","10","41.469593495935001","63.452032520325098","8.1070646401422408","0.653558158009381"
"WT","1","4","0.91033390158521799","0.80229983633061","41.343065693430603","56.370437956204299","0.73341750024278929","123.349207683442","10","41.469593495935001","63.452032520325098","8.1070646401422408","0.653558158009381"
"WT","1","5","0.99128125187961003","0.428966883293556","47.849829351535803","68.945392491467501","0.69402504826493761","123.349207683442","10","41.469593495935001","63.452032520325098","8.1070646401422408","0.653558158009381"
"WT","1","6","0.99128125187961003","0.428966883293556","45.935153583617698","79.532423208191105","0.57756512037076724","123.349207683442","10","41.469593495935001","63.452032520325098","8.1070646401422408","0.653558158009381"
"WT","1","7","0.99128125187961003","0.428966883293556","39.184300341296897","77.692832764505098","0.50434897206114893","123.349207683442","10","41.469593495935001","63.452032520325098","8.1070646401422408","0.653558158009381"
"WT","1","8","0.99128125187961003","0.428966883293556","37.815699658702997","43.556313993174001","0.86820247610092405","123.349207683442","10","41.469593495935001","63.452032520325098","8.1070646401422408","0.653558158009381"
"WT","1","9","0.87421578769005404","0.333803581539013","38.627192982456101","66.570175438596493","0.58024772697325011","123.349207683442","10","41.469593495935001","63.452032520325098","8.1070646401422408","0.653558158009381"
"WT","1","10","0.92533755236116999","0.363084597463487","35.153225806451601","60.084677419354797","0.58506140527481398","123.349207683442","10","41.469593495935001","63.452032520325098","8.1070646401422408","0.653558158009381"
"WT","2","1","0.99128125187961003","0.428966883293556","45.788395904436797","153.43344709897599","0.29842512679063954","77.353123818481293","24","69.890639481001003","226.20045015225699","31.026542711214798","0.30897657115163601"
"WT","2","2","0.73680300018494005","0.584156267693272","99.1929824561403","466.20050125313202","0.21276893137075731","77.353123818481293","24","69.890639481001003","226.20045015225699","31.026542711214798","0.30897657115163601"
"WT","2","3","0.89118425788354105","0.714456788557185","139.741803278688","372.98975409835998","0.37465319554551924","77.353123818481293","24","69.890639481001003","226.20045015225699","31.026542711214798","0.30897657115163601"
